#KEY	featureCounts on dataset 100 and 121: Counts_2	featureCounts on dataset 100 and 118: Counts_2	featureCounts on dataset 100 and 115: Counts_2	featureCounts on dataset 100 and 109: Counts_2	featureCounts on dataset 100 and 112: Counts_2	featureCounts on dataset 100 and 106: Counts_2
ENSG00000011243.21	947	1741	1501	841	1260	1906
ENSG00000011258.18	2035	1901	2720	1028	1477	1310
ENSG00000011260.16	436	402	570	226	204	165
ENSG00000011275.20	1558	2046	2195	1558	1725	2550
ENSG00000011295.18	1850	1625	2433	1241	1515	1320
ENSG00000011304.24	1493	2945	2192	1854	2151	2881
ENSG00000011332.24	9	16	9	6	11	14
ENSG00000011347.12	749	999	1203	753	1338	1449
ENSG00000011376.14	621	699	934	544	641	858
ENSG00000011405.16	4235	4020	5850	2508	3541	3024
ENSG00000011422.14	57	106	131	95	80	139
ENSG00000011426.13	35	101	115	56	25	20
ENSG00000011451.23	628	968	1026	879	1086	1308
ENSG00000011454.20	2919	2630	3776	2231	2713	3163
ENSG00000011465.20	42717	54926	51075	33978	41895	33844
ENSG00000011478.14	77	210	103	129	151	171
ENSG00000011485.17	780	1070	1040	828	915	1065
ENSG00000011523.17	1864	2125	2788	1342	1667	1926
ENSG00000011566.17	2019	1946	2976	1277	1642	1927
ENSG00000011590.16	71	117	96	68	100	142
ENSG00000011600.14	289	383	435	220	384	402
ENSG00000011638.13	833	1058	754	505	573	482
ENSG00000011677.15	0	0	0	0	0	0
ENSG00000012048.28	285	285	417	254	274	223
ENSG00000012061.19	1029	1427	1407	1099	1188	1510
ENSG00000012124.19	141	319	362	105	71	86
ENSG00000012171.22	346	592	372	318	440	440
ENSG00000012174.14	655	400	835	410	448	409
ENSG00000012211.15	75	127	169	117	138	245
ENSG00000012223.15	8594	8451	7398	11827	3240	1775
ENSG00000012232.12	601	1132	905	583	657	893
ENSG00000012504.17	0	0	0	0	0	0
ENSG00000012660.16	3902	4534	4640	2173	3581	3031
ENSG00000012779.14	234	300	443	262	231	257
ENSG00000012817.18	0	0	0	0	0	0
ENSG00000012822.18	3671	6193	4589	2951	5490	7800
ENSG00000012963.17	192	337	248	174	244	272
ENSG00000012983.14	2473	2110	3400	1435	1929	1743
ENSG00000013016.18	636	1614	1188	487	795	944
ENSG00000013275.10	670	1154	865	787	843	1067
ENSG00000013288.11	853	1665	1443	982	1488	1509
ENSG00000013293.7	253	197	384	162	237	327
ENSG00000013297.14	870	1076	1050	413	544	736
ENSG00000013306.18	593	1319	896	673	810	1054
ENSG00000013364.21	1141	1828	1546	1022	1209	1691
ENSG00000013374.19	1574	2280	2225	1311	1740	2193
ENSG00000013375.19	1764	1599	2076	902	1269	1261
ENSG00000013392.10	184	331	298	88	174	201
ENSG00000013441.19	6208	8750	8004	2872	4725	4592
ENSG00000013503.12	469	426	611	335	424	496
ENSG00000013523.14	725	839	960	739	648	924
ENSG00000013561.20	1157	1507	1398	744	885	868
ENSG00000013563.16	261	718	402	292	452	557
ENSG00000013573.19	583	407	1125	687	253	421
ENSG00000013583.12	461	550	1054	404	602	511
ENSG00000013588.12	406	692	588	185	570	993
ENSG00000013619.17	73	82	101	102	98	140
ENSG00000013725.16	60	57	142	108	118	99
ENSG00000013810.23	79	197	169	142	143	138
ENSG00000014123.12	1581	1475	1676	801	1185	724
ENSG00000014138.12	61	54	94	88	95	122
ENSG00000014164.9	196	225	295	279	302	422
ENSG00000014216.18	1506	3250	1874	1639	2170	2661
ENSG00000014257.18	66	130	106	24	124	193
ENSG00000014641.23	1056	1414	1062	756	805	694
ENSG00000014824.16	2265	2314	2898	1244	1667	1144
ENSG00000014914.23	323	1006	786	318	538	649
ENSG00000014919.15	604	659	793	347	482	421
ENSG00000015133.21	797	1324	1571	1013	1270	1939
ENSG00000015153.17	790	487	996	542	681	722
ENSG00000015171.23	3530	4136	4560	2607	3685	4791
ENSG00000015285.14	64	86	157	94	129	117
ENSG00000015413.12	16	7	3	31	21	16
ENSG00000015475.21	548	602	627	391	377	397
ENSG00000015479.22	8908	11324	11027	5702	7762	7170
ENSG00000015520.17	17	21	17	16	16	20
ENSG00000015532.12	839	1739	1158	776	1012	1144
ENSG00000015568.15	0	0	0	1	0	0
ENSG00000015592.19	10	35	8	3	9	16
ENSG00000015676.20	1789	2323	2420	1772	1675	2411
ENSG00000016082.17	14	4	10	5	7	1
ENSG00000016391.13	1245	1897	1294	896	1250	2084
ENSG00000016402.16	929	1244	1021	505	1052	1414
ENSG00000016490.18	1	0	3	0	1	1
ENSG00000016602.11	86	73	158	95	70	30
ENSG00000016864.21	593	1069	818	510	683	840
ENSG00000017260.22	2946	3137	4324	1469	2212	1613
ENSG00000017427.19	653	1679	1307	254	861	496
ENSG00000017483.18	38	215	114	34	49	66
ENSG00000017797.15	1651	2069	2065	1336	1766	2182
ENSG00000018189.15	2771	2921	4125	1497	2675	3004
ENSG00000018236.17	1653	4426	2678	1044	1822	1416
ENSG00000018280.20	29	73	41	42	38	70
ENSG00000018408.17	2011	2141	3931	1554	2235	2799
ENSG00000018510.20	1650	1339	1744	953	1211	726
ENSG00000018607.9	1	0	1	0	4	3
ENSG00000018610.17	521	737	558	545	513	725
ENSG00000018625.17	155	308	207	293	335	157
ENSG00000018699.15	648	594	832	531	483	499
ENSG00000018869.20	166	185	232	97	127	164
ENSG00000019102.14	72	285	191	51	150	266
ENSG00000019144.22	2292	3457	3342	3151	3664	4401
ENSG00000019169.13	32	18	28	16	23	9
ENSG00000019186.12	162	114	95	0	127	6
ENSG00000019485.16	531	603	735	684	614	850
ENSG00000019505.9	61	193	58	8	28	39
ENSG00000019549.14	744	1322	1106	615	1094	1184
ENSG00000019582.19	13237	21453	26202	13122	21378	28307
ENSG00000019991.19	634	2559	2407	390	830	1107
ENSG00000019995.7	680	721	912	478	571	732
ENSG00000020129.18	365	1052	768	405	756	1207
ENSG00000020181.20	2383	5915	3381	2563	4274	4063
ENSG00000020219.9	1	7	3	0	9	16
ENSG00000020256.22	393	477	669	378	585	759
ENSG00000020426.13	794	703	946	428	615	444
ENSG00000020577.16	1171	1174	1085	826	1182	1519
ENSG00000020633.20	264	249	284	258	287	344
ENSG00000020922.15	1675	1333	2002	1091	1083	1194
ENSG00000021300.15	392	252	205	486	291	185
ENSG00000021355.15	1024	1252	1452	884	884	900
ENSG00000021461.20	21	25	39	15	24	25
ENSG00000021488.15	3	22	28	22	14	24
ENSG00000021574.17	876	1069	1169	474	658	604
ENSG00000021645.20	292	161	233	103	300	353
ENSG00000021762.22	927	1725	1229	885	1241	1613
ENSG00000021776.13	2924	3022	4020	1928	2579	2728
ENSG00000021826.20	557	611	631	256	443	566
ENSG00000021852.16	0	10	5	0	5	4
ENSG00000022267.21	4000	1831	2122	1860	3969	1337
ENSG00000022277.15	1031	1587	1195	854	985	1286
ENSG00000022355.20	0	0	16	0	0	0
ENSG00000022556.18	31	183	199	45	129	13
ENSG00000022567.12	659	918	810	591	695	898
ENSG00000022840.18	1601	2954	2307	1466	2132	2494
ENSG00000022976.18	370	485	515	387	450	572
ENSG00000023041.14	1118	1292	1463	718	937	1008
ENSG00000023171.22	257	440	444	141	257	359
ENSG00000023191.19	1333	2191	1534	1164	1139	1134
ENSG00000023228.17	2711	3587	3180	2240	2788	3335
