#KEY	featureCounts on dataset 100 and 121: Counts_2	featureCounts on dataset 100 and 118: Counts_2	featureCounts on dataset 100 and 115: Counts_2	featureCounts on dataset 100 and 109: Counts_2	featureCounts on dataset 100 and 112: Counts_2	featureCounts on dataset 100 and 106: Counts_2
ENSG00000252501.1	0	0	0	0	0	0
ENSG00000252503.1	23	16	32	21	39	36
ENSG00000252505.1	0	0	2	0	1	0
ENSG00000252506.1	0	0	0	0	0	0
ENSG00000252507.1	0	0	0	0	0	0
ENSG00000252508.1	1	0	0	0	0	0
ENSG00000252509.1	0	0	0	0	0	0
ENSG00000252510.1	1	2	0	1	0	1
ENSG00000252512.1	0	0	0	0	0	0
ENSG00000252513.1	0	0	0	0	0	0
ENSG00000252514.1	2	0	0	0	1	1
ENSG00000252515.2	0	0	0	0	0	0
ENSG00000252516.1	0	0	0	3	3	0
ENSG00000252517.1	0	0	0	0	0	0
ENSG00000252519.1	0	0	0	0	0	0
ENSG00000252521.1	0	0	0	0	0	0
ENSG00000252523.1	28	4	40	14	18	11
ENSG00000252524.1	0	0	0	0	0	0
ENSG00000252526.1	0	0	0	0	0	0
ENSG00000252530.1	0	0	0	0	0	0
ENSG00000252532.1	6	2	3	4	2	7
ENSG00000252533.1	0	0	0	0	0	0
ENSG00000252534.1	3	0	15	1	2	1
ENSG00000252535.1	0	0	0	0	0	0
ENSG00000252537.1	0	0	0	0	0	0
ENSG00000252539.1	1	4	3	0	1	0
ENSG00000252540.1	0	0	2	0	0	0
ENSG00000252542.1	0	0	0	0	0	0
ENSG00000252544.1	2	1	7	3	2	0
ENSG00000252545.1	0	0	0	0	0	0
ENSG00000252546.1	1	0	0	0	0	0
ENSG00000252548.1	0	2	2	0	0	0
ENSG00000252549.1	31	17	59	22	22	63
ENSG00000252550.1	0	0	0	0	0	0
ENSG00000252552.1	5	4	7	5	3	2
ENSG00000252553.1	0	0	2	0	0	1
ENSG00000252554.1	1	5	6	6	2	3
ENSG00000252555.1	0	0	0	0	0	0
ENSG00000252556.1	0	0	3	1	0	1
ENSG00000252558.1	0	0	0	0	0	0
ENSG00000252560.1	0	0	5	0	1	2
ENSG00000252561.1	0	0	0	0	0	0
ENSG00000252562.1	0	0	1	0	0	0
ENSG00000252563.1	0	0	0	0	0	0
ENSG00000252568.1	6	4	15	2	3	9
ENSG00000252569.1	0	0	0	0	0	0
ENSG00000252574.2	0	0	0	0	0	0
ENSG00000252577.1	4	3	7	10	4	5
ENSG00000252578.1	9	11	33	8	14	33
ENSG00000252580.1	0	0	2	0	0	0
ENSG00000252581.1	5	3	23	2	11	19
ENSG00000252582.1	4	0	1	1	1	1
ENSG00000252583.2	0	0	0	0	0	0
ENSG00000252585.1	9	2	4	3	6	8
ENSG00000252587.1	0	0	0	0	0	0
ENSG00000252590.1	0	0	0	0	0	0
ENSG00000252591.1	0	0	0	0	0	0
ENSG00000252593.1	0	0	1	0	0	0
ENSG00000252594.1	0	0	0	0	0	0
ENSG00000252595.1	0	0	0	0	0	0
ENSG00000252597.1	0	0	0	0	0	0
ENSG00000252598.1	0	0	0	0	0	0
ENSG00000252599.1	0	0	0	0	0	0
ENSG00000252601.1	0	0	0	0	0	0
ENSG00000252603.1	0	0	0	0	0	0
ENSG00000252604.1	0	0	0	0	0	0
ENSG00000252606.1	2	0	2	0	0	1
ENSG00000252607.1	0	0	0	0	0	0
ENSG00000252608.1	1	0	1	1	1	2
ENSG00000252611.1	0	0	0	0	0	0
ENSG00000252612.1	2	1	1	0	0	0
ENSG00000252614.1	12	11	19	12	15	17
ENSG00000252615.1	0	1	1	2	1	0
ENSG00000252618.1	0	0	0	0	1	0
ENSG00000252619.1	0	0	2	0	0	0
ENSG00000252620.1	10	7	19	20	14	9
ENSG00000252621.1	1093	1004	1501	425	3148	3628
ENSG00000252622.1	3	3	3	3	7	4
ENSG00000252623.1	0	0	0	0	0	0
ENSG00000252624.1	0	0	0	0	0	0
ENSG00000252625.1	0	0	0	0	0	0
ENSG00000252626.1	0	0	0	2	0	0
ENSG00000252627.1	10	2	19	5	3	3
ENSG00000252628.2	0	0	0	0	0	0
ENSG00000252633.1	0	0	0	0	0	0
ENSG00000252634.1	9	11	12	5	6	8
ENSG00000252635.1	0	0	0	0	0	0
ENSG00000252636.1	0	0	0	0	0	0
ENSG00000252637.1	1	3	2	1	4	1
ENSG00000252639.1	0	1	2	2	0	8
ENSG00000252640.1	0	0	0	4	1	0
ENSG00000252641.2	4	10	14	4	4	6
ENSG00000252642.1	0	0	0	0	0	0
ENSG00000252643.1	3	4	4	4	4	2
ENSG00000252644.1	0	0	2	4	1	1
ENSG00000252645.1	0	0	0	0	0	0
ENSG00000252647.1	0	0	0	0	0	0
ENSG00000252649.1	0	0	0	0	0	0
ENSG00000252650.1	0	0	0	0	0	0
ENSG00000252651.1	0	0	0	0	0	0
ENSG00000252652.1	19	10	29	9	10	15
ENSG00000252653.1	0	0	0	0	0	0
ENSG00000252654.1	0	0	0	0	0	2
ENSG00000252655.1	0	0	0	0	0	0
ENSG00000252656.1	0	0	0	0	0	0
ENSG00000252657.1	3	0	0	3	0	0
ENSG00000252658.1	22	4	31	8	18	12
ENSG00000252659.1	2	0	1	1	1	3
ENSG00000252660.1	0	0	0	0	2	0
ENSG00000252661.1	0	0	0	0	0	0
ENSG00000252667.1	0	0	0	0	0	0
ENSG00000252671.1	0	0	0	0	0	0
ENSG00000252673.1	0	0	0	0	0	0
ENSG00000252674.1	0	0	0	0	0	0
ENSG00000252677.1	1	0	3	3	1	1
ENSG00000252680.1	0	0	2	3	2	3
ENSG00000252681.1	0	0	0	0	0	0
ENSG00000252682.1	0	0	0	0	0	0
ENSG00000252684.1	0	0	0	0	0	0
ENSG00000252685.1	1	0	0	0	0	0
ENSG00000252686.1	4	1	12	4	1	9
ENSG00000252688.1	0	2	7	1	1	0
ENSG00000252689.1	0	0	0	0	0	0
ENSG00000252691.1	0	0	1	0	0	0
ENSG00000252692.1	0	0	0	0	0	0
ENSG00000252693.1	0	0	0	0	0	0
ENSG00000252695.1	4	4	4	3	1	3
ENSG00000252696.1	0	0	0	0	1	0
ENSG00000252697.1	0	0	0	0	0	0
ENSG00000252699.1	6	22	10	14	15	22
ENSG00000252700.1	2	1	14	1	2	2
ENSG00000252704.1	0	0	0	0	0	0
ENSG00000252705.1	0	0	0	0	0	0
ENSG00000252707.1	52	25	72	39	42	59
ENSG00000252710.1	0	0	0	0	0	0
ENSG00000252711.1	0	0	0	0	0	0
ENSG00000252712.1	1	0	2	2	1	0
ENSG00000252713.1	5	5	0	4	5	3
ENSG00000252714.1	0	0	0	0	0	0
ENSG00000252716.1	0	0	0	0	0	0
ENSG00000252717.1	0	0	0	0	0	0
ENSG00000252718.1	0	0	0	0	0	0
ENSG00000252719.1	4	3	16	4	3	1
ENSG00000252720.1	0	0	0	0	0	0
ENSG00000252721.1	2	2	0	1	0	0
ENSG00000252722.1	4	0	3	3	2	7
ENSG00000252723.2	0	0	0	0	0	0
ENSG00000252724.1	0	0	0	0	0	0
ENSG00000252725.1	0	0	0	0	0	0
ENSG00000252726.1	0	0	3	0	0	0
ENSG00000252727.1	0	0	0	0	0	0
ENSG00000252729.1	0	0	0	0	0	0
ENSG00000252734.1	0	0	0	0	0	0
ENSG00000252735.1	0	0	0	0	0	0
ENSG00000252739.1	5	4	3	3	4	4
ENSG00000252742.1	5	2	5	0	2	1
ENSG00000252743.1	0	0	0	0	0	0
ENSG00000252744.1	1	0	0	0	1	0
ENSG00000252745.1	0	0	0	0	0	0
ENSG00000252746.1	0	0	1	0	0	0
ENSG00000252747.1	5	1	6	3	0	0
ENSG00000252749.1	0	0	1	0	0	0
ENSG00000252750.1	14	7	14	6	6	2
ENSG00000252751.1	3	6	18	5	1	1
ENSG00000252752.1	0	0	0	0	0	0
ENSG00000252755.1	0	1	0	0	2	2
ENSG00000252756.1	5	1	11	4	3	3
ENSG00000252757.1	4	3	15	0	0	1
ENSG00000252758.1	0	0	1	1	1	0
ENSG00000252759.1	21	40	39	19	32	54
ENSG00000252760.1	0	0	0	0	0	0
ENSG00000252761.1	0	0	0	0	0	0
ENSG00000252762.1	0	0	2	0	0	0
ENSG00000252763.1	5	2	18	8	8	1
ENSG00000252764.1	0	0	0	0	1	0
ENSG00000252765.1	0	0	0	0	0	0
ENSG00000252766.1	0	0	0	0	0	0
ENSG00000252767.1	0	0	0	0	0	0
ENSG00000252768.1	21	16	43	11	27	1
ENSG00000252769.1	0	0	0	0	0	0
ENSG00000252770.1	4	0	3	2	4	2
ENSG00000252772.1	1	0	6	0	0	0
ENSG00000252774.1	1	0	0	4	0	1
ENSG00000252776.1	0	0	0	0	0	0
ENSG00000252777.1	3	4	5	0	5	1
ENSG00000252778.1	0	0	1	0	0	2
ENSG00000252779.1	9	5	14	0	1	4
ENSG00000252780.1	0	0	0	0	0	0
ENSG00000252782.1	40	5	58	17	22	15
ENSG00000252783.1	0	0	2	0	0	0
ENSG00000252784.1	0	0	0	0	0	0
ENSG00000252787.2	0	0	0	1	0	0
ENSG00000252794.1	0	0	0	0	0	0
ENSG00000252795.1	0	0	0	0	0	0
ENSG00000252796.1	4	3	6	4	4	3
ENSG00000252797.1	0	0	0	0	0	0
ENSG00000252798.1	0	0	0	0	0	0
ENSG00000252800.1	10	5	24	30	7	28
ENSG00000252802.1	0	0	0	0	0	0
ENSG00000252804.1	6	2	7	6	3	1
ENSG00000252806.1	0	0	0	0	0	0
ENSG00000252807.1	0	0	0	0	0	0
ENSG00000252810.1	3	2	5	1	4	0
ENSG00000252812.1	1	3	1	0	0	1
ENSG00000252814.1	0	0	0	0	0	0
ENSG00000252815.1	3	0	0	3	0	0
ENSG00000252816.1	0	0	0	0	0	0
ENSG00000252820.1	0	0	0	0	0	0
ENSG00000252821.1	1	1	4	1	5	3
ENSG00000252822.1	7	1	12	6	5	2
ENSG00000252823.1	1	0	1	1	2	0
ENSG00000252824.1	0	0	1	0	2	0
ENSG00000252826.1	1	0	0	1	0	0
ENSG00000252827.1	0	0	0	0	0	1
ENSG00000252828.1	0	0	0	0	0	0
ENSG00000252830.2	0	0	0	0	0	0
ENSG00000252832.1	2	5	17	3	6	3
ENSG00000252833.1	0	0	0	0	0	0
ENSG00000252835.1	12982	17890	8711	4077	6555	7485
ENSG00000252837.1	0	0	0	0	0	1
ENSG00000252839.1	2	1	5	2	6	1
ENSG00000252840.1	5	6	9	1	2	18
ENSG00000252845.1	0	0	1	0	1	0
ENSG00000252847.1	12	7	36	4	4	2
ENSG00000252848.1	0	0	3	1	0	0
ENSG00000252850.1	0	0	0	0	0	0
ENSG00000252852.1	0	0	0	0	0	0
ENSG00000252854.1	6	3	0	0	0	2
ENSG00000252856.1	0	0	0	0	0	0
ENSG00000252857.1	0	0	0	0	0	0
ENSG00000252858.1	0	0	0	0	0	0
ENSG00000252859.1	1	3	2	3	1	2
ENSG00000252860.1	4	0	16	7	7	11
ENSG00000252861.1	0	0	3	0	0	0
ENSG00000252863.1	0	0	0	0	0	0
ENSG00000252864.1	12	9	35	21	16	42
ENSG00000252866.1	0	0	0	0	1	0
ENSG00000252867.1	0	2	0	0	0	0
ENSG00000252868.1	0	0	0	0	0	0
ENSG00000252870.1	0	0	0	0	0	0
ENSG00000252872.1	0	0	0	0	0	0
ENSG00000252874.2	32	20	50	19	30	22
ENSG00000252877.1	1	0	0	0	0	0
ENSG00000252879.1	0	0	0	0	0	0
ENSG00000252881.1	0	0	5	0	0	0
ENSG00000252882.1	0	0	0	1	0	0
ENSG00000252884.1	0	0	0	0	0	0
ENSG00000252886.1	1	0	1	0	0	0
ENSG00000252887.1	2	4	4	9	12	7
ENSG00000252888.1	0	0	0	0	0	0
ENSG00000252889.1	0	0	1	0	0	0
ENSG00000252890.1	0	0	0	0	0	0
ENSG00000252891.1	0	0	0	0	0	0
ENSG00000252892.1	11	3	8	2	5	3
ENSG00000252894.2	1	0	4	1	2	7
ENSG00000252897.1	0	0	0	0	0	0
ENSG00000252898.1	4	1	14	2	3	3
ENSG00000252900.1	0	0	0	0	0	0
ENSG00000252902.1	2	0	1	3	1	0
ENSG00000252903.2	1	4	2	0	0	1
ENSG00000252904.1	48	20	67	25	37	27
ENSG00000252905.1	1	6	5	2	2	3
ENSG00000252906.1	200	518	92	32	24	22
ENSG00000252908.1	3	2	4	1	1	2
ENSG00000252909.1	0	0	0	0	0	0
ENSG00000252913.1	1	0	0	0	0	0
ENSG00000252914.1	2	4	9	9	3	7
ENSG00000252915.1	5	14	11	1	6	2
ENSG00000252916.1	21	15	26	9	16	18
ENSG00000252917.1	14	4	11	5	4	5
ENSG00000252919.1	0	1	1	0	1	0
ENSG00000252920.1	0	0	0	0	0	0
ENSG00000252922.1	0	0	0	1	0	0
ENSG00000252923.1	0	0	0	0	0	1
ENSG00000252927.1	0	0	0	0	0	0
ENSG00000252928.1	2	1	3	2	2	0
ENSG00000252929.1	1	1	1	1	1	0
ENSG00000252930.1	0	0	0	0	0	0
ENSG00000252931.1	0	0	0	0	0	0
ENSG00000252933.1	3	0	3	2	1	2
ENSG00000252934.1	0	1	1	1	0	0
ENSG00000252935.1	0	0	2	0	2	0
ENSG00000252936.1	0	0	0	0	0	0
ENSG00000252937.1	0	0	3	0	1	2
ENSG00000252941.1	0	0	0	0	0	0
ENSG00000252942.1	6	4	11	4	4	6
ENSG00000252943.1	2	3	6	1	0	1
ENSG00000252944.1	1	1	8	1	7	3
ENSG00000252945.1	0	0	3	0	1	1
ENSG00000252947.1	43	59	42	12	7	2
ENSG00000252948.1	0	0	0	0	0	0
ENSG00000252950.1	20	13	38	16	21	11
ENSG00000252951.1	2	2	5	3	1	1
ENSG00000252952.1	0	0	0	0	0	0
ENSG00000252953.1	0	0	0	0	0	0
ENSG00000252955.1	9	2	3	9	3	1
ENSG00000252956.1	0	0	0	0	0	0
ENSG00000252957.1	0	0	0	0	0	2
ENSG00000252959.1	1	1	4	0	2	2
ENSG00000252960.1	5	0	4	0	2	2
ENSG00000252962.1	0	0	0	0	0	0
ENSG00000252963.1	0	0	0	0	0	0
ENSG00000252964.1	0	0	0	0	0	0
ENSG00000252965.1	11	16	7	14	10	20
ENSG00000252969.1	0	1	0	0	0	0
ENSG00000252970.1	7	2	8	4	7	12
ENSG00000252971.1	0	0	0	1	4	0
ENSG00000252973.1	0	0	0	0	0	0
ENSG00000252975.1	7	2	20	7	3	3
ENSG00000252977.1	0	0	0	0	0	0
ENSG00000252978.1	0	0	0	0	0	0
ENSG00000252979.1	0	0	0	0	0	0
ENSG00000252980.1	3	0	2	3	0	3
ENSG00000252982.1	3	8	6	8	3	1
ENSG00000252983.1	1	1	7	0	3	2
ENSG00000252984.1	11	2	12	3	4	5
ENSG00000252985.1	22	12	32	7	26	20
ENSG00000252987.1	0	0	0	0	0	0
ENSG00000252988.1	1	0	0	0	1	1
ENSG00000252989.1	0	0	0	0	0	0
ENSG00000252990.1	0	0	0	0	2	0
ENSG00000252991.1	0	0	0	0	0	0
ENSG00000252992.1	4	3	5	2	4	4
ENSG00000252993.1	3	1	8	2	1	0
ENSG00000252994.1	8	2	20	9	8	13
ENSG00000252995.1	2	1	1	3	0	1
ENSG00000252996.1	0	0	0	0	0	0
ENSG00000252998.1	0	0	0	0	0	0
ENSG00000252999.1	0	0	0	0	0	0
ENSG00000253000.1	0	0	0	0	1	0
ENSG00000253001.1	0	0	0	0	1	0
ENSG00000253003.1	0	0	0	0	0	0
ENSG00000253005.1	0	0	0	0	0	2
ENSG00000253006.1	11	2	4	13	1	1
ENSG00000253007.2	0	0	0	0	0	0
ENSG00000253008.2	11	4	16	6	10	7
ENSG00000253010.1	0	1	1	1	0	3
ENSG00000253013.1	7	1	3	6	10	3
ENSG00000253015.1	41	30	41	32	41	66
ENSG00000253016.1	0	0	0	0	0	0
ENSG00000253019.1	4	4	3	4	2	1
ENSG00000253020.2	8	5	13	6	3	2
ENSG00000253021.1	0	0	1	0	3	2
ENSG00000253022.1	3	0	0	0	1	2
ENSG00000253023.1	0	0	1	0	0	0
ENSG00000253024.1	2	3	1	3	1	3
ENSG00000253025.1	0	0	1	0	0	1
ENSG00000253026.1	0	0	0	0	0	0
ENSG00000253027.1	0	0	2	0	0	0
ENSG00000253028.1	0	0	0	0	0	0
ENSG00000253030.1	7	3	12	2	6	6
ENSG00000253031.1	0	0	0	0	0	0
ENSG00000253032.1	0	0	1	0	0	1
ENSG00000253035.1	0	0	0	0	0	1
ENSG00000253038.1	0	0	0	0	0	0
ENSG00000253039.1	3	3	12	4	5	3
ENSG00000253040.1	0	0	0	0	0	0
ENSG00000253041.1	0	0	0	0	0	0
ENSG00000253042.1	55	8	51	17	32	25
ENSG00000253043.1	9	1	14	6	4	6
ENSG00000253047.1	0	0	0	0	0	0
ENSG00000253048.1	4	0	3	0	1	0
ENSG00000253049.1	0	0	0	0	0	0
ENSG00000253051.1	0	0	0	0	0	0
ENSG00000253053.1	0	0	0	0	0	0
ENSG00000253054.1	3	9	7	18	6	20
ENSG00000253055.1	0	0	0	0	0	0
ENSG00000253056.1	0	0	2	1	0	1
ENSG00000253057.1	2	5	4	0	4	2
ENSG00000253058.1	2	3	3	10	6	14
ENSG00000253059.1	7	4	15	5	2	4
ENSG00000253060.1	0	2	0	0	0	0
ENSG00000253063.1	5	2	7	4	0	0
ENSG00000253064.1	11	3	26	6	6	3
ENSG00000253065.1	2	0	1	0	1	0
ENSG00000253066.1	0	0	0	0	0	0
ENSG00000253067.1	0	0	0	0	0	0
ENSG00000253070.1	1	3	1	0	0	0
ENSG00000253072.1	0	0	1	0	0	0
ENSG00000253073.1	0	0	0	0	0	0
ENSG00000253074.1	0	0	0	0	1	0
ENSG00000253075.1	2	2	9	3	2	6
ENSG00000253077.1	0	0	0	0	0	0
ENSG00000253078.1	0	0	0	0	0	0
ENSG00000253079.1	7	1	7	3	3	2
ENSG00000253080.1	0	0	0	0	0	0
ENSG00000253081.1	0	0	0	0	0	0
ENSG00000253083.1	0	0	0	0	0	0
ENSG00000253084.3	0	0	0	0	0	0
ENSG00000253085.1	1	2	2	0	3	3
ENSG00000253086.1	3	1	10	7	2	2
ENSG00000253087.1	1	0	0	0	0	0
ENSG00000253088.1	16	6	23	7	10	0
ENSG00000253089.1	0	0	0	0	0	0
ENSG00000253090.2	0	0	0	0	0	0
ENSG00000253092.1	5	6	7	3	4	4
ENSG00000253093.1	1	1	3	2	2	6
ENSG00000253094.1	0	0	0	0	0	0
ENSG00000253096.1	5	8	6	7	3	6
ENSG00000253097.1	4	0	6	2	0	0
ENSG00000253098.1	0	0	0	1	3	0
ENSG00000253099.1	1	0	3	0	1	0
ENSG00000253100.3	0	0	0	0	1	0
ENSG00000253102.2	0	0	0	1	2	0
ENSG00000253103.3	0	2	1	0	0	0
ENSG00000253104.1	2	2	3	0	4	0
ENSG00000253105.7	0	0	3	2	2	3
ENSG00000253106.1	175	174	187	118	163	209
ENSG00000253107.1	0	0	0	0	0	0
ENSG00000253108.1	1	0	0	1	0	0
ENSG00000253109.1	0	0	0	0	0	0
ENSG00000253110.1	0	0	0	0	0	0
ENSG00000253111.3	0	0	2	0	0	1
ENSG00000253112.1	49	26	85	46	35	85
ENSG00000253114.2	7	4	3	1	20	3
ENSG00000253116.1	50	25	73	51	52	124
ENSG00000253117.6	0	0	0	0	0	0
ENSG00000253118.1	0	0	1	0	0	0
ENSG00000253119.1	15	4	36	16	30	31
ENSG00000253120.1	2	2	1	0	0	0
ENSG00000253121.1	8	2	8	1	3	0
ENSG00000253122.2	0	0	0	0	0	0
ENSG00000253123.5	12	9	7	8	4	17
ENSG00000253124.1	1	0	1	0	0	2
ENSG00000253125.1	26	12	12	7	10	12
ENSG00000253126.1	0	0	0	0	0	0
ENSG00000253127.1	0	0	0	0	0	0
ENSG00000253130.3	43	40	115	20	34	54
ENSG00000253131.1	0	0	0	0	0	0
ENSG00000253132.1	0	0	0	0	0	0
ENSG00000253133.2	16	9	25	12	8	11
ENSG00000253134.1	1	0	2	0	0	0
ENSG00000253135.1	0	0	2	0	0	0
ENSG00000253137.1	0	0	0	0	0	0
ENSG00000253138.6	12	20	33	8	9	9
ENSG00000253140.3	0	0	2	1	3	1
ENSG00000253141.2	1	0	0	1	2	2
ENSG00000253142.2	6	1	6	2	4	3
ENSG00000253143.3	0	0	0	0	0	0
ENSG00000253144.1	0	0	0	0	0	0
ENSG00000253146.1	0	0	0	0	0	0
ENSG00000253147.5	0	0	0	0	0	0
ENSG00000253148.1	9	0	12	0	2	1
ENSG00000253149.3	0	0	0	0	0	0
ENSG00000253152.1	0	0	0	0	0	0
ENSG00000253153.1	36	13	56	15	20	32
ENSG00000253154.5	214	117	47	2	88	45
ENSG00000253155.1	1	0	0	0	0	0
ENSG00000253156.1	2	1	2	2	4	2
ENSG00000253158.1	0	0	2	0	0	0
ENSG00000253159.4	149	148	198	211	205	326
ENSG00000253160.1	0	0	0	0	1	0
ENSG00000253161.8	54	75	76	41	68	125
ENSG00000253162.1	1	0	0	0	0	0
ENSG00000253163.2	0	0	0	0	3	0
ENSG00000253164.6	24	45	56	6	30	43
ENSG00000253165.1	0	3	0	0	0	0
ENSG00000253166.2	17	17	0	5	4	9
ENSG00000253167.1	33	19	87	33	26	54
ENSG00000253168.2	85	44	86	75	70	108
ENSG00000253169.2	0	0	0	0	0	0
ENSG00000253170.1	0	0	0	0	0	0
ENSG00000253171.1	4	5	22	3	11	7
ENSG00000253172.1	4	1	4	0	2	3
ENSG00000253173.3	1	3	5	2	0	3
ENSG00000253174.2	1	0	1	2	2	2
ENSG00000253175.1	11	6	15	5	4	15
ENSG00000253176.3	0	0	0	0	0	0
ENSG00000253177.3	21	21	37	34	14	8
ENSG00000253178.1	0	1	0	0	0	1
ENSG00000253179.1	0	0	0	0	0	0
ENSG00000253180.1	23	33	47	23	58	111
ENSG00000253181.3	4	13	7	5	15	13
ENSG00000253182.2	1	0	5	4	0	0
ENSG00000253183.1	0	0	0	0	0	0
ENSG00000253184.2	1	3	2	1	1	2
ENSG00000253186.2	0	0	0	0	0	0
ENSG00000253187.3	13	22	6	17	19	29
ENSG00000253188.1	0	0	1	0	0	0
ENSG00000253189.1	0	4	2	0	0	0
ENSG00000253190.5	3	4	3	4	5	5
ENSG00000253191.1	0	0	0	0	0	0
ENSG00000253194.3	92	32	95	41	56	33
ENSG00000253195.2	0	0	0	0	0	0
ENSG00000253196.4	20	46	39	35	35	62
ENSG00000253198.1	0	0	0	0	0	0
ENSG00000253199.2	0	0	1	1	0	1
ENSG00000253200.1	109	118	200	131	113	186
ENSG00000253202.1	0	0	0	0	0	0
ENSG00000253203.7	0	0	0	0	0	0
ENSG00000253204.1	1	0	0	0	0	0
ENSG00000253205.7	0	1	3	0	0	0
ENSG00000253206.1	0	1	0	0	0	0
ENSG00000253207.3	0	0	1	0	0	0
ENSG00000253208.1	7	2	3	1	4	9
ENSG00000253209.1	0	0	0	0	0	0
ENSG00000253210.5	38	68	52	41	28	50
ENSG00000253213.1	12	5	18	6	6	10
ENSG00000253214.4	3	1	2	1	1	1
ENSG00000253215.1	0	1	0	0	0	0
ENSG00000253216.1	1	2	0	0	0	0
ENSG00000253217.2	15	19	13	11	3	4
ENSG00000253218.1	19	30	62	30	48	73
ENSG00000253219.1	0	0	0	0	0	0
ENSG00000253220.3	4	2	1	3	3	6
ENSG00000253223.1	12	21	17	8	15	23
ENSG00000253224.1	0	0	0	0	0	0
ENSG00000253225.1	1	0	0	0	0	0
ENSG00000253226.1	3	0	1	0	0	0
ENSG00000253227.3	9	7	8	3	1	9
ENSG00000253228.1	0	0	0	0	0	2
ENSG00000253229.1	2	0	0	0	0	0
ENSG00000253230.12	0	4	0	0	0	3
ENSG00000253231.1	0	0	0	0	0	0
ENSG00000253232.1	0	0	0	1	0	0
ENSG00000253233.1	0	0	0	0	0	0
ENSG00000253234.1	18	3	4	7	15	4
ENSG00000253236.3	0	0	0	0	0	0
ENSG00000253237.2	0	0	0	0	0	0
ENSG00000253238.4	6	4	7	3	2	10
ENSG00000253239.1	34	0	0	0	0	0
ENSG00000253240.1	0	0	0	0	0	0
ENSG00000253241.1	0	0	0	0	0	0
ENSG00000253242.1	0	0	0	0	0	0
ENSG00000253244.1	0	0	0	0	0	0
ENSG00000253245.2	13	3	20	6	12	9
ENSG00000253247.1	0	0	0	0	0	0
ENSG00000253250.5	226	325	240	130	169	138
ENSG00000253251.5	117	158	156	55	79	80
ENSG00000253252.3	1	1	1	3	2	1
ENSG00000253257.1	6	3	19	7	14	33
ENSG00000253258.1	0	0	0	0	0	0
ENSG00000253259.1	0	0	0	0	0	0
ENSG00000253260.2	0	0	0	0	0	0
ENSG00000253261.1	0	0	0	2	0	1
ENSG00000253262.1	0	0	0	0	0	0
ENSG00000253263.1	24	12	27	9	18	27
ENSG00000253265.1	0	0	0	0	0	0
ENSG00000253266.1	3	1	0	3	2	4
ENSG00000253267.6	0	0	0	0	0	0
ENSG00000253269.1	6	1	9	7	5	5
ENSG00000253270.2	24	12	48	16	14	32
ENSG00000253271.2	0	1	0	0	3	0
ENSG00000253273.2	25	17	63	26	24	39
ENSG00000253274.1	0	0	0	1	0	0
ENSG00000253275.1	0	0	0	0	0	0
ENSG00000253276.5	602	734	554	455	553	400
ENSG00000253278.1	0	0	0	0	1	0
ENSG00000253279.7	1	0	1	0	1	0
ENSG00000253280.1	0	0	0	0	0	0
ENSG00000253281.8	1	0	0	0	0	0
ENSG00000253282.2	0	2	0	0	1	0
ENSG00000253283.1	1	0	0	1	0	0
ENSG00000253284.2	206	176	357	131	184	244
ENSG00000253286.7	3	3	7	1	4	1
ENSG00000253287.2	0	0	0	0	0	0
ENSG00000253288.3	4	0	3	1	1	0
ENSG00000253290.1	4	3	12	6	8	1
ENSG00000253291.1	0	0	0	0	0	0
ENSG00000253292.1	1	0	0	0	0	0
ENSG00000253293.7	31	40	19	26	38	30
ENSG00000253294.1	0	0	0	0	0	0
ENSG00000253295.3	1	0	3	2	0	1
ENSG00000253297.1	0	0	0	0	0	1
ENSG00000253298.2	23	12	22	23	14	26
ENSG00000253299.1	1	5	8	1	2	9
ENSG00000253300.3	0	2	1	0	0	1
ENSG00000253301.7	0	1	0	1	0	1
ENSG00000253302.1	13	11	20	6	19	25
ENSG00000253303.1	0	0	0	0	0	0
ENSG00000253304.4	190	331	246	225	284	314
ENSG00000253305.4	306	296	571	408	336	429
ENSG00000253307.1	24	12	18	19	18	26
ENSG00000253308.3	1	2	1	0	0	0
ENSG00000253309.8	34	37	39	23	33	30
ENSG00000253310.1	0	0	0	0	0	0
ENSG00000253311.4	13	4	5	13	4	3
ENSG00000253312.1	0	0	0	0	0	0
ENSG00000253313.8	106	165	107	72	109	143
ENSG00000253314.8	0	0	0	0	0	0
ENSG00000253315.2	2	0	5	1	2	1
ENSG00000253317.1	4	3	17	2	4	7
ENSG00000253318.1	0	0	0	3	0	0
ENSG00000253319.1	0	0	0	0	0	0
ENSG00000253320.8	176	194	271	147	260	303
ENSG00000253321.2	0	0	0	0	0	0
ENSG00000253322.2	0	0	3	0	0	0
ENSG00000253325.1	0	0	0	0	0	0
ENSG00000253326.2	0	0	0	0	0	0
ENSG00000253327.2	17	23	20	7	19	5
ENSG00000253328.2	9	10	15	14	11	17
ENSG00000253329.1	0	0	0	0	0	0
ENSG00000253330.1	43	24	69	45	40	56
ENSG00000253331.1	0	0	0	0	0	0
ENSG00000253332.1	0	0	0	0	0	0
ENSG00000253333.1	0	0	0	0	0	0
ENSG00000253334.1	5	2	24	2	0	1
ENSG00000253335.1	32	23	33	23	18	28
ENSG00000253336.1	4	6	12	9	5	7
ENSG00000253338.1	0	0	1	2	1	2
ENSG00000253339.5	0	0	0	2	0	0
ENSG00000253340.1	0	0	0	0	0	0
